page|sector|goal_text|source_doc
82|Roads and Drainages|D 200 kabwe – 40 This road was recently Mulungushi To keep traffic flowing at the Mukonchi worked on by a current rate, there is need to contractor and it is in put in place a maintenance good condition programme to ensure that the road is kept in a good state, otherwise the whole investment would go to waste.|IDP_MAIN
83|Roads and Drainages|The proposed construction of a dual carriage way will require a bypasses around the towns of Kabwe and Kapiri Mposhi that will serve as an economic road for farmers and mining activities and reduce on traffic congestion in the Central Business District.|IDP_MAIN
84|Commerce|The continued growth in the urban population will lead to further increase in demand for limited urban services and increased congestion in the Central Business District.|IDP_MAIN
84|Environment|The anticipated population growth and increase in vehicular traffic may contribute to environmental degradation due to emission of pollutants and clearing of land for investment resulting into to loss of biodiversity.|IDP_MAIN
84|Roads and Drainages|The district’s distribution of small-scale farmers shows that women account for 52.6 percent of smallholder farmers in the district, therefore a poor road network entails limited access to good market for their farm produce which may increase the poverty and vulnerability levels of women headed households.|IDP_MAIN
85|Unknown|Currently the Government in collaboration with SMART Zambia has embarked on a robust program on integrated information management systems where Government departments are connected to Government Wide Area Network (GWAN) in order to enhance service delivery.|IDP_MAIN
87|Energy|The Government through ZESCO intends to increase electricity transmission and distribution in the district ZESCO has embarked on the construction and upgrading of power substations.|IDP_MAIN
88|Unknown|3.7.7 Impact of Changes Anticipated Over the Next Ten Years 3.7.7.1 Population Change – Future Demand for Services and Facilities The projected population growth for Kabwe district shows an increase in population density from 151Km2 in 2020 to 183Km2 in 2035.|IDP_MAIN
88|Environment|The current deficit in electricity will likely promote the cutting down of trees for charcoal production and firewood which contributes to environmental degradation and global warming.|IDP_MAIN
88|Energy|The anticipated population growth and dependence on electricity will require strategic interventions to promote sustainable use of energy and also investments in renewable energy.|IDP_MAIN
89|Environment|3.7.8 The Impact of Environmental and Climate Change Issues on the Sector The continued deprivation of access to electricity in the peri urban and rural areas of the district will continue to promote deforestation due to the need for firewood and charcoal for energy consumption.|IDP_MAIN
90|Energy|In order to promote environmental sustainability and human and social development, it is imperative that the IDP area enhances access to reliable and clean energy.|IDP_MAIN
90|Environment|The following interventions have been implemented and others are still under implementation: 3.8.1.1 The Copperbelt Environmental Project (CEP) The Copperbelt Environmental Project (CEP), funded by the World Bank from 2003 to 2011, aimed to address environmental liabilities hindering mining investments in Zambia.|IDP_MAIN
94|Health|ii) Conducting compliance inspections and monitoring of all the mines in the district, to ensure they operate in accordance with the provisions of the existing Laws such as the Environmental Management Act, Occupational Health and Safety Act, Public Health Act, and others.|IDP_MAIN
103|Education|The rapid increase in enrolments could be attributed to inadequate infrastructure development in terms of classroom blocks.|IDP_MAIN
106|Education|Figure 48: Number of Teachers by Education Level and Sex DEBS-Kabwe, 2023 3.9.1.2.1.11 Number of Classroom at each level of Education The district experienced an increase in the number of classrooms from 118 in 2019 to 134 in 2021 under the Early Childhood Education.|IDP_MAIN
109|Education|These projections give an indication that demand for both primary and secondary schools including educational facilities such as classrooms, desks, books will increase and if not looked into service provision will go down.|IDP_MAIN
112|Environment|The intense heat associated with climate change contributes to increase in disease outbreaks resulting in deaths leaving most children orphaned.|IDP_MAIN
112|Environment|Strategies have been put in place to ensure conservation and preservation of the environment through tree planting activities, Keep Kabwe Clean green and healthy Campaign and preservation of open spaces.|IDP_MAIN
114|Health|It is worth to note that, a healthy labor force is crucial for the successful attainment of Zambia’s Vision 2030 objective of becoming a prosperous middle-income nation as it enables the country to enhance its economic productivity and earn a substantial demographic dividend.|IDP_MAIN
114|Health|Emphasis will be placed on strengthening health systems and services using the primary health care approach, to enhance the wellbeing of all residents.|IDP_MAIN
114|Health|To achieve this, investments will be made in strengthening health promotion programmes and ensuring availability of all critical health system ingredients including adequate medical personnel, equipment, infrastructure and medical supplies.|IDP_MAIN
117|Health|Figure 54: Households within 5Km Facility (%), Rural Urban Source: KDHO, 2022 3.10.2.1.5 Provision of Health Care Services (Key Performance Indicators) 2.10.3.2.5.1 Women aged (15-49) Attending ANC in first trimester Vs Child Delivery Access to proper medical attention immediately a woman falls pregnant can reduce the risk of complications and infections that may lead to death or serious illness o|IDP_MAIN
121|Health|Figure 61:Prevalence rate of Under 5 Children stunted, underweight & Wasted Figure 63: Prevalence rate of Under 5 children stunted, underweight & wasted Source: KDHO, 2022 3.10.2.1.8.2 Incidences of Deaths 3.10.2.1.8.2.1 Maternal Mortality per 1,000 live births Access to proper medical attention and hygienic conditions during delivery can reduce the risk of complications and infections that may le|IDP_MAIN
124|Health|There is need to improve road network and transport management especially in rural wards in order to enhance the health care delivery system in the district.|IDP_MAIN
125|Water and Sanitation|There is need therefore for the district to increase levels of access to clean and safe water and sanitation services for people especially in rural areas.|IDP_MAIN
128|Water and Sanitation|With the projected increase of 286,418 additional populations by 2035, the district will require 13 more health facilities with supporting infrastructure for water and sanitation.|IDP_MAIN
129|Environment|3.10.3.3 Environment and Climate Change Analysis 3.10.3.3.1 The Impact of Existing Trends on the Environment and Climate Change In an effort to reduce the pollution of both ground and surface water originating from indiscriminate waste disposal, the health sector plays an important role to address of issues climate change.|IDP_MAIN
130|Energy|3.11 Community Development and Social Welfare Community Development is Government’s resolve and instrument to reduce poverty and vulnerability as well as economic inequalities through the provision of livelihood and empowerment interventions to individuals, families and communities, to realize the aspirations of the Vision 2030 and the Sustainable Development Goals (SDGs) among various strategic d|IDP_MAIN
130|Governance|The provisions of certain aspects of community development programmes in Zambia are governed by pieces of legislation, which provide legal framework and promote human rights such as the African Union policy framework, Universal Declaration of Human Rights, Declaration on Social Progress and Development and Convention on the Elimination of all forms of Discrimination Against Women and other Interna|IDP_MAIN
130|Energy|3.11.1 Key Government Priorities being and to implemented at Local Level The district through the Department of Community Development is implementing socio economic empowerment program for the poor and vulnerable but viable households by supporting them with various Social Protection interventions to enhance their livelihoods for self-sustainability and poverty reduction.|IDP_MAIN
133|Unknown|3.12.1 Land Management and Administration Access to land means an opportunity to earn a decent income and achieve food and nutrition security.|IDP_MAIN
134|Environment|In an effort to improve access to land and to address the increased demand for land the Government in 2019 through Statutory instrument No.173 excised the Kabwe National Forest No.|IDP_MAIN
134|Unknown|The report revealed that there was an increase in illegal land allocation in the district which was prominent in informal settlements such as Kawama, Makululu, Katondo.|IDP_MAIN
134|Water and Sanitation|The report further revealed that there was an increase in encroachments on water infrastructure such as the Lukanga well field.|IDP_MAIN
135|Unknown|For instance, the Local Authority from 2010 to 2022 received a total number of 12,473 applications for land in comparison to the 3720 plots that were advertised.|IDP_MAIN
136|Education|This will entail the need to increase education, health, housing infrastructure to match the needs of the population.|IDP_MAIN
136|Unknown|3.12.1.4.3 Existing Trends on Population and Settlements The demographic analysis denotes that about 70% of the projected population growth will be absorbed by the informal settlements and the increase in demand for land will lead to more proliferation of informal settlements in the district.|IDP_MAIN
136|Unknown|The increase in demand for land and the inability of the Local Authority to meet its demand will entail an increase in the informal settlements around the fringes of the urban core of the district.|IDP_MAIN
137|Agriculture|into an increase in zonal use change particularly from agriculture to mixed development in and creation of growth nodes in order to meet the high demand for various land uses.|IDP_MAIN
137|Environment|According to the Kabwe State of Environment Outlook report the district experienced an increase in the levels of encroachment in the forest reserves from 5% in 2010 to 65% in 2019 which was attributed to extension of agriculture land and settlements amongst others.|IDP_MAIN
137|Governance|To increase access to land and to create a conducive environment for good governance, focus will be on sensitization on the policies and legal frameworks that promotes access to land by the marginalized and vulnerable groups and adherence by the Local Authority to these pieces of legislature employed.|IDP_MAIN
138|Unknown|With the increase in the economic and social activities the Kabwe has witnessed over the years, the district has experienced an increased pressure on the supply of housing unit for the general populace.|IDP_MAIN
144|Water and Sanitation|Therefore, strategies to improve water supply and sanitation services will be intensified in the District with key priorities given to water quality monitoring, water supply and sanitation promotion, water supply and sanitation infrastructure development, enhancing stakeholders’ involvement, sustainable operations and maintenance improvement.|IDP_MAIN
145|Water and Sanitation|There has been a reduction in the available ground water abstracted by Lukanga Water sanitation from approximately 1,0000,7000 to 700,000 m3 per annum from 2015 to 2020 which is attributed mainly to high levels of encroachment on the aquifers.|IDP_MAIN
146|Water and Sanitation|3.14.1.1.3 Sanitation Situation In the township and peri-urban areas, provision of the sanitation system is the responsibility of the Lukanga Water Supply and Sanitation Company (LWSC), with some areas using onsite sanitation, which includes Septic Tanks, VIP toilets and improve latrines.|IDP_MAIN
146|Water and Sanitation|To improve sanitation in the district, Lukanga Water Supply and Sanitation Company (LGWSC) in collaboration with stakeholders such as KMC and SNV have been desludging onsite sanitation facilities.|IDP_MAIN
146|Water and Sanitation|This has resulted in an increase in the number of people using onsite sanitation facilities.|IDP_MAIN
147|Water and Sanitation|With population growth and increase in urbanization, the current water supply and sanitation services are expected to be inadequate for there will be more demand to this.|IDP_MAIN
147|Health|Investing in efforts that slow the rates of population growth through increasing access to voluntary family planning services can help ensure that ample water is available for food production, ecosystem health, and political and social stability.|IDP_MAIN
148|Water and Sanitation|This is resulting from unequal distribution of water resource infrastructure, a situation contributing to poor sanitation levels and increase in poverty levels.|IDP_MAIN
149|Water and Sanitation|In the urban area it’s the inadequate resources by the water utility to expand the current network.|IDP_MAIN
149|Governance|Government is keen to promote the stewardship and use of the forests and forest lands in a way and at a rate, that maintains their biodiversity, productivity, regeneration capacity and their potential to fulfill, now and in the future, relevant ecological, economic and social functions that does not cause damage to other ecosystem.|IDP_MAIN
153|Water and Sanitation|This is evidenced by a reduction in the amount of water abstracted by LgWSC from approximately 1,000,700m3 to 700,000 m3 per annum from 2015 to 2020.|IDP_MAIN
157|Environment|3.16 Solid Waste Management 3.16.1 Key Government Priorities Being and To Be Implemented at a Local Level The Provision of solid waste management will be a priority under this Plan with focus on institutional and capacity development to ensure the local authority is well equipped to provide the service.|IDP_MAIN
157|Environment|Provision of appropriate equipment and infrastructure for solid waste management will be facilitated to ensure sustainable service delivery.|IDP_MAIN
157|Environment|Strategies to improve solid waste management services will be intensified in the District.|IDP_MAIN
158|Governance|Table 43: Estimated Waste Generation per year from 2020 to 2035 Year Population Estimated Waste Per Annum (Kg) 2022 299,206 51,311,880 2025 329,816 52,791,045 2026 340,700 55,500,075 2030 387,947 59,077,221 2036 456,325 62,725,542 KMC, 2022 3.16.2.1 Solid Waste Management Situation In order to improve waste management in the District, Kabwe Municipal Council conducts awareness campaigns targeting |IDP_MAIN
159|Governance|Figure 73: Loading of garbage in the skip bins Hired Front End Loader clearing dumpsite In order to improve solid waste service provision in the District, the Council has zoned the District into six Solid Waste Zones, and currently working on the advertisement to engage franchise companies as well as Community Based Enterprises to service the designated Zones and they will be in operation by 2023.|IDP_MAIN
161|Environment|This calls for improved and intensified solid waste management in the District, especially with the rapid increase of population in Kabwe.|IDP_MAIN
164|Unknown|This section has further provided a spatial development framework that will promote sustainable functional and integrated human settlements and will enable attain the vision, goals and objectives of the IDP.|IDP_MAIN
165|Unknown|Enhance Human and Social Development through promotion of access to public and social services viii.|IDP_MAIN
166|Governance|LED Strategy This document promotes sustainable local economic LED approaches will ensure; that that development managed with the participation of key the local investment climate is stakeholders at the local level.|IDP_MAIN
166|Health|It takes into consideration various regional to the policy and key strategies at the and international instruments, protocols and commitments local level and must contribute to which will ensure that Zambia’s health programs are integrated national goals in the health sector.|IDP_MAIN
166|Education|The policy considers gender, HIV and disabilities to be schools at all levels from early child among priority cross-cutting issues that need to be integrated education through to tertiary in planning education These facilities should be duly situated so as to enhance accessibility.|IDP_MAIN
166|Governance|Decentralisation The long term vision of Government is to achieve a fully All matters relating to planning Policy decentralized and democratically elected system of governance process, institutional arrangements characterized by open, predictable and transparent policy must be taken into account in the IDP making and implementation processes at all levels of the process.|IDP_MAIN
166|Governance|Emphasis for planning is to public service, effective local community participation in ensure that planning activities are decision-making and development administration while taken at appropriate local level.|IDP_MAIN
166|Agriculture|It takes into agricultural development and for the consideration the primary, secondary and tertiary processes in promotion of high value crops, food agricultural production and provides for attention to the crops and livestock, aquaculture and concerns regarding the failure to increase rural incomes and all forms of agriculture.|IDP_MAIN
166|Commerce|reduce poverty, failure to achieve inclusive growth, the Considerations must be made for perpetual agricultural financing and marketing challenges; and urban agriculture to supply urban climate change associated with erratic rainfall patterns centres and provide incomes.|IDP_MAIN
167|Health|It also planning process must deliberately addresses gender-based violence, human trafficking, drug ensure that women actively abuse and trafficking; gender disparities in positions of decision participate as stakeholders in the making; emerging health issues affecting mostly consultations.|IDP_MAIN
168|Commerce|National Trade Policy National Trade Policy was established to enhance domestic trade and IDP must take into account Trade Policy ensure effective participation of private sector players in regional and measures aimed at handling trade related international trade.|IDP_MAIN
169|Unknown|The section provides details of the issues raised and the possible strategies, activities and targets planned in order to achieve equitable economic development in the district.|IDP_MAIN
181|Education|Objective 14: To empower 1,020 youths, women, and disabled (Cooperatives, Clubs, Associations, and Organized Groups) by 2027 Offering Offering of 1,020 grants Empowerment grants to Organized All wards 120 1,020 120 150 200 250 300 GRZ, KMC Groups Objective 15: To empower 2,016 youths with skills development under TEVETA by 2027 Skills developmen Training of 2,016 t Empowerment youth by TEVETA All |IDP_MAIN
182|Unknown|The development interventions highlighted under this SDA will therefore address these challenges and improve the welfare of the people of Kabwe in line with the 8NDP theme of, “Socio-economic Transformation for Improved Livelihoods”.|IDP_MAIN
182|Education|c y/Dep s a a T t B 2023 2024 2025 2026 2027 Objectives ENHANCE ACCESS TO QUALITY, EQUITABLE AND INCLUSIVE EDUCTION BY 2027 Improve on Teacher Deployment of 1490 Across the staffing 0 1490 75 355 355 355 350 MOE Deployment teachers in the district.|IDP_MAIN
182|Education|district levels Adult Promote Education/A Adult Opening of 25 Adult Munyama and dult Literacy 14 25 6 6 4 5 4 MOE Literacy literacy Education Centers Chinyanja Adult Program Literacy Justine Kabwe,Waya,C Promote Early Establishment of 16 more hililalila,Nakoli, Early Childhood Early childhood centers in Bwacha, 43 16 2 4 2 4 4 MOE Childhood centers 16 primary schools Kawama,Bwach Education a,Chima|IDP_MAIN
184|Education|school Kasanda Malombe structure primary school Enhance Construction of ablution All Wards 0 100 10 20 30 25 25 MOE access to blocks in schools.|IDP_MAIN
187|Water and Sanitation|Improve Drill, test and equip new All wards 0 52 10 5 15 12 10 LA access to boreholes clean and Rehabilitation of 52 All wards 0 52 10 5 15 12 10 LgWSC safe water boreholes supply Munyama, Munga, Chinyanja, Muwowo East, Muwowo West, Justin Kabwe, Installation of water Nakoli, Waya, Water 0 16 4 4 4 4 kiosks Kalonga Affairs (Kamushanga, Kakumbi and Makwati, Luansanse Kulamase, Chirwa, Njanji , Mpim|IDP_MAIN
187|Health|ambulances and utility vehicles) for smooth health service delivery Equipment and Increase MOH/COOR transport access to Procure 4 basic standard Kabwe district PERATING procurement 0 4 1 1 1 1 - quality health ambulances hub/zones PARTNERS/ and care CDF maintenance Kabwe district Procurement of 35 health 10 35 5 10 10 10 - motorbikes office/health facilities Procurement of 2 4*4 and 1 Kabwe Distri|IDP_MAIN
200|Education|Conduct outreach service in and out 100 schools 45 100 100 100 100 100 100 school on SRHR Health Strengthen public education Conduct mentorship MoH, CP health to facilities on promotion delivery of 42 health facilities 15 42 42 42 42 42 42 adolescent health services.|IDP_MAIN
203|Environment|Products Health Sensitization of 50 Education on industries on proper All Chemical 0 50 0 10 10 15 15 Council and safe chemical Wards waste waste management management Objective To promote sustainable environment and natural resource management by the end of 2027 To conduct 59 Forest communities Conduct Health protection All sensitization on 0 59 4 10 20 10 15 Council Education.|IDP_MAIN
205|Governance|2.11 Good Governance Environment The Strategic Development Area on Good Governance Environment seeks to promote adherence to the rule of law, transparency, accountability, consensus-building, responsiveness, equity, inclusiveness, effectiveness and efficiency in service delivery.|IDP_MAIN
210|Unknown|4.5 SPATIAL DEVELOPMENT FRAMEWORK 4.5.1 Introduction The Spatial Development Framework aims to promote sustainable functional and integrated human settlements, maximize resource efficiency, and enhance regional identity and unique character of a place.|IDP_MAIN
211|Unknown|Spatial development and land use control promotes greater urban structure with satellite towns, regional integration with regional development, well planned and manageable land use to accommodate the population increase and economic expansion during next two decades.|IDP_MAIN
212|Roads and Drainages|The existing instruments of public participation are to be further developed - to the extent appropriate - with the objective of achieving a broad public acceptance of the procedure 4.5.2.4 Spatial Development Models During the IDP planning period 3 scenarios have being discussed which elaborate strategies on how to achieve development in the district.|IDP_MAIN
212|Unknown|The following are the scenarios discussed: ▪ Urban Growth Management: Urban growth Management model seeks to ensure that population growth is matched by access to basic infrastructure, shelter, and employment.|IDP_MAIN
213|Unknown|government or private sector land ownership in key areas to improve growth management) · vi.|IDP_MAIN
214|Unknown|Increase capacity to carry goods for the district to the industrial establishments for the next projection of 10 years from 2023 to 2032.|IDP_MAIN
214|Roads and Drainages|Improve the quality of rail crossings along the main roads causing traffic slow down.|IDP_MAIN
215|Unknown|It would ensure a modern level of infrastructure development and provide transport to open up areas of natural resources around the central province.|IDP_MAIN
215|Environment|The figure below shows proposed rail transportation routes that will enhance rail transportation thus fostering an environment to support private sector engagement.|IDP_MAIN
215|Commerce|As illustrated in figure 3.4.3 a proposed route facilitating transportation of goods and services from neighbouring districts ie Ngabwe, Chisamba, Chibombo, Luano will enhance commerce and trade sector thus offering opportunities to local economic development in the district.|IDP_MAIN
217|Roads and Drainages|An attempt to address this challenge is the construction of minor roads/ grading of roads in these areas and rehabilitate roads that are in deplorable state in urban centres in order to ensure quick access within the district.|IDP_MAIN
222|Environment|Kabwe has a lot of potential natural resources eg Mpima forest reserve, Kalulu forest, Lukanga swamps, Mulungushi dam, hence the need for a strategic approach in order to achieve effective environmental protection.|IDP_MAIN
222|Environment|The following strategies have been formulated to achieve effective environmental protection; ▪ To formulate a green belt zone, maintaining mainly agriculture land and other natural green spaces functioning as a buffer for urban sprawl and environmental and recreational network.|IDP_MAIN
224|Environment|The combination is being used as a means to ensure environmental concerns, economic concerns and social equity concerns are all encompassed on the model chosen for development of the district.|IDP_MAIN
226|Health|4.5.3.5 Land Use Planning Policies and Proposals to Improve, Maintain or Protect the Environmental, Social and Economic Aspects of Development Kabwe district’s future as a vibrant town solely depends on its economic health and must be able to carter to a variety of people of different income levels.|IDP_MAIN
226|Unknown|The demand for bricks has been fast growing due to the increase in population and the demand for housing especially in the urban parts of the district.|IDP_MAIN
226|Environment|The local authority needs to ensure that there is a balanced economic development in relation to protecting the environment.|IDP_MAIN
227|Environment|The local authority through the department of forestry will ensure that they increase forest cover and reduce deforestation and this can only be effectively achieved if alternative livelihoods of people are identified and are linked to actions that can practically manage and improve the resource.|IDP_MAIN
228|Unknown|The local authority to promote properly, coordinated developments within the district to minimise conflicts and encroachments 4.5.3.5.7 Land Use Planning Policies and Proposals for The Protection of National and Regional Interests, Policies and Guide The district is endowed with the Lukanga Swamps which is a permanently swampy area located 50Km west of Kabwe district.|IDP_MAIN
229|Water and Sanitation|The local authority to ensure that no developments or encroachment s take place within the 100 meters buffer zone on water resources within the district.|IDP_MAIN
229|Governance|The local authority to promote effective community participation and stakeholder involvement in the management of water resources Furthermore, the district has forest reserves covering a total surface area of 15, 334 ha.|IDP_MAIN
229|Environment|The local authority shall raise public awareness and environmental education that will promote wise use of land meant for forests and the importance of the forests to the district’s economy ii.|IDP_MAIN
230|Unknown|This increase in population is slowly out spacing the district’s ability to provide these basic social services to its residents.|IDP_MAIN
231|Unknown|Informal settlement upgrading-The local authority shall ensure that land that is under residential use is upgraded as in-situ informal settlement upgrading as it is believed to be the most cost-effective way to enable settlements to transform into dense and liveable places.|IDP_MAIN
231|Unknown|Low-cost infrastructure or housing improvements-the local authority shall ensure that housing units that are already established are improved rather than being reconstructed.|IDP_MAIN
231|Unknown|To strengthen partnerships in urban developments in order to improve on service delivery to the majority poor in the district.|IDP_MAIN
231|Unknown|The Local authority to promote participatory planning by involving the local residents in the upgrading of the settlements in the district v.|IDP_MAIN
231|Unknown|The local authority to promote for partnerships with the public and private sector to provide serviced land vi.|IDP_MAIN
244|Governance|Objective 13:To promote local and diaspora participation in the economy in order to create wealth and employment by 2027 Promote Business Hold Expo Human Enterprise Development 2025 Number of Resource, Development Services Preparatory Entire District prep stationary, Kabwe municipal Kabwe municipal meeting with meeting 15,000 Council/KCCI Council/KCCI Provision.|IDP_MAIN
249|Education|Agency/Dept (ZMW) funds Objective Enhance Access to Quality, Equitable and Inclusive Education by 2027 s Improve Deployment of No.|IDP_MAIN
249|Education|of adult Promote Education/A Opening of 25 Literacy Human GRZ, Adult dult Literacy Adult literacy Munyama and Chinyanja Education Resourc Cooperating MOE Literacy 25,000 Adult Education Centers Centers e partners Program Literacy opened Justine No.|IDP_MAIN
249|Education|of early Establishment of Promote Kabwe,Waya,Chililalila,Na childhood Early 16 more Early Human GRZ, Early koli,Bwacha, centers Childhood childhood centers Resourc Cooperating MOE Childhood Kawama,Bwacha,Chimani established in 25,000 centers in 16 primary e partners Education mani,Kalonga, Kasitu, primary schools Muwowo, East, Luangwa schools Promote Mine, Grace Christian No.|IDP_MAIN
250|Unknown|of staff s e s tn e To construct 900 houses r b y u , ilding GRZ, u m staff houses in the Across the district constructed in Cooperating MOE ff a o t h s p o le v e district by 2027 t 2 h 0 e 2 7 d istrict by m s H , u at m er a i n al 4,544,700 partners n o f o e r u D R e esourc itc u r ts n o C tc u r ts a r f n Rehabilitation of N re o h .|IDP_MAIN
252|Water and Sanitation|material I s Improve sanitation coverage from 70% to 90% by 2027, Objective Increase solid waste collection and disposal from 40% to 70% by 2027 s Recycle 25% of all solid waste collected by 2027 Maintenan No.|IDP_MAIN
259|Unknown|Cost Potential Strategy Program Activities Location Indicator Input Agency/Dep (ZMW) Source funds t Objectives ENHANCE ACCESS TO QUALITY, EQUITABLE AND INCLUSIVE EDUCTION BY 2027 Deployment of 1490 No.|IDP_MAIN
259|Education|of early Promote Early Early more Early childhood a, childhood centers Human GRZ, Childhood Childhood Kawama,Bwacha,C Cooperating MOE centers in 16 primary established in Resource 25,000 Education centers himanimani,Kalon partners schools primary schools ga, Kasitu, Muwowo, East, Luangwa Mine, Grace Christian primary Promote Inclusive Special Establishment of 8 school, Kawama No.|IDP_MAIN
260|Unknown|of staff houses machinery, GRZ, houses in the district Across the district constructed in the building Cooperating MOE of staff houses Development 4,544,700 by 2027 district by 2027 materialsHum partners an Resource No.|IDP_MAIN
