page|pillar|sub_programme|source_doc
17|Economic Transformation|. Director of Finance Benjamin Kasongo|IDP_MAIN
17|Economic Transformation|. Director of Human Resource and Administration Elina Nyirenda|IDP_MAIN
17|Economic Transformation|. Director Housing and Social Services Boyd Mboyi|IDP_MAIN
17|Economic Transformation|. District Education Board Secretary Dr. Chrispin Maleya|IDP_MAIN
17|Economic Transformation|. District Forestry Officer Martin Mpundu|IDP_MAIN
17|Economic Transformation|. District Medical Officer Dr. Sylvester Kasonde|IDP_MAIN
17|Economic Transformation|. District Community Development Officer Annie M. Siame|IDP_MAIN
17|Economic Transformation|.District Social Welfare Officer Musenge Musonda|IDP_MAIN
17|Economic Transformation|.District Tourism and Culture Officer Chileshe M. Mwila|IDP_MAIN
17|Economic Transformation|.District Fisheries and Livestock Officer Dr. Kenneth Chawinga|IDP_MAIN
17|Economic Transformation|.Kennedy Pezo District|IDP_MAIN
17|Economic Transformation|.Director of Development Planning (IDP Manager) Chansa Mwila|IDP_MAIN
17|Economic Transformation|.District Agricultural Coordinating Officer Etambuyu Anamela|IDP_MAIN
17|Economic Transformation|.District Planning Officer Leontina B. Chikwanda|IDP_MAIN
17|Economic Transformation|.District Health Planner Lydia Kaponda|IDP_MAIN
17|Economic Transformation|.Patrick Mulenga Chief Community Dev.|IDP_MAIN
17|Economic Transformation|.Musanje Pamphrey Health Inspector|IDP_MAIN
17|Economic Transformation|.District Planning Officer (DEBs) Patience Chanda|IDP_MAIN
17|Economic Transformation|.Town Planner Mutukwa Kamuti|IDP_MAIN
17|Economic Transformation|.Town Planner Naomi Kalengo|IDP_MAIN
18|Economic Transformation|.Town Planner Chalwe Kamukwamba|IDP_MAIN
18|Economic Transformation|.Town Planner Logan Mwape|IDP_MAIN
18|Economic Transformation|.Darius Maluzi Forestry Officer|IDP_MAIN
18|Economic Transformation|.Jeff Chalwe Agriculture specialist|IDP_MAIN
18|Economic Transformation|. Patson Phiri - Assistant Director PP(MLG)|IDP_MAIN
18|Economic Transformation|. Justin Kapenda - Assistant Director Provincial Planning Unit (PPU)|IDP_MAIN
18|Economic Transformation|. Chanda Senkwe -Provincial Planner Physical Planning and Housing (PPH)|IDP_MAIN
18|Economic Transformation|. Wycliff Phiri - Senior Planner Physical Planning and Housing (PPH)|IDP_MAIN
19|Economic Transformation|Introduction and Background|IDP_MAIN
19|Economic Transformation|Description of the IDP area|IDP_MAIN
20|Economic Transformation|Historical Perspective of the Kabwe IDP area|IDP_MAIN
21|Economic Transformation|were made here.|IDP_MAIN
21|Economic Transformation|General Physical Characteristics|IDP_MAIN
21|Economic Transformation|.2.1 Topography|IDP_MAIN
22|Economic Transformation|Drainage Pattern|IDP_MAIN
23|Economic Transformation|.5.1 Temperature|IDP_MAIN
23|Economic Transformation|(m.a.s.l) Annual Temp oC Annual Temp.oC|IDP_MAIN
23|Economic Transformation|,207 20.8 29.8 14.9|IDP_MAIN
23|Economic Transformation|/2000). Most of the rainfall is between October and April, with December and|IDP_MAIN
23|Economic Transformation|Relative Humidity|IDP_MAIN
23|Economic Transformation|Sunshine and Winds|IDP_MAIN
23|Economic Transformation|and 10.2 h/d is experienced. The shortest sunshine duration is during the months|IDP_MAIN
24|Economic Transformation|m/s. In comparison, the wind speed for Central province and the rest of Zambia|IDP_MAIN
24|Economic Transformation|General Administration|IDP_MAIN
24|Economic Transformation|Central Administration|IDP_MAIN
25|Economic Transformation|Local Authority|IDP_MAIN
26|Economic Transformation|.3.3 Governance|IDP_MAIN
27|Economic Transformation|Demographic Analysis|IDP_MAIN
27|Economic Transformation|Population and Population Growth|IDP_MAIN
27|Economic Transformation|District Population Growth Trends|IDP_MAIN
27|Economic Transformation|% to 0.5% between the period 1969 – 1980 and 1980 – 2000. And then|IDP_MAIN
28|Economic Transformation|Age Structure and Dependency Burden|IDP_MAIN
29|Economic Transformation|Total Fertility Rate (TFR)|IDP_MAIN
29|Economic Transformation|%, that is, from 4.2 in 2020 to 3.8 in 2035. If fertility rate were to remain constant at|IDP_MAIN
29|Economic Transformation|District Population|IDP_MAIN
30|Economic Transformation|Projected Population and Characteristics|IDP_MAIN
30|Economic Transformation|,325 by 2035. From the positive point of view, this population growth provides|IDP_MAIN
30|Economic Transformation|Population Projection by Constituency|IDP_MAIN
31|Economic Transformation|,275 people in 2022 whereas Bwacha Constituency had 199,391. However, in 2035|IDP_MAIN
31|Economic Transformation|Population Projection by Gender|IDP_MAIN
32|Economic Transformation|Projected Population Density|IDP_MAIN
32|Economic Transformation|District Population by Ward|IDP_MAIN
34|Economic Transformation|Life Expectancy at Birth: Male – Female|IDP_MAIN
34|Economic Transformation|Life Expectancy at Birth: Rural-Urban Differentials|IDP_MAIN
35|Economic Transformation|Population Analysis for Key Ages|IDP_MAIN
35|Economic Transformation|Population in Age Group (0-4) Years|IDP_MAIN
35|Economic Transformation|in 2035. This population is also referred to as population for Early Childhood|IDP_MAIN
36|Economic Transformation|Population in Age Group (5-14) Years|IDP_MAIN
37|Economic Transformation|Population in Age Group (14-19) Years|IDP_MAIN
37|Economic Transformation|Population in Economically Active Age Group (15 – 64) Years|IDP_MAIN
38|Economic Transformation|Population in Female Reproductive Age Group (15-49) Years|IDP_MAIN
38|Economic Transformation|) to 48,581 in 2035 (CSO Population and Demographic Projections, 2011 – 2035).|IDP_MAIN
39|Economic Transformation|Expected Population Behaviour during IDP Period|IDP_MAIN
39|Economic Transformation|+ years, forming an expansive pyramid structure.|IDP_MAIN
39|Economic Transformation|Impact of Population Trends on Land Use and Spatial Development|IDP_MAIN
40|Economic Transformation|Assessment of The Existing Land Use and Settlement Pattern In The District|IDP_MAIN
40|Economic Transformation|Spatial Analysis and Land use planning|IDP_MAIN
40|Economic Transformation|Description of the Existing state of Land Use and Development|IDP_MAIN
40|Economic Transformation|Existing Land Uses|IDP_MAIN
41|Economic Transformation|.2 Land Use Map|IDP_MAIN
41|Economic Transformation|Land Tenure system|IDP_MAIN
42|Economic Transformation|Overall Settlement Pattern of the District|IDP_MAIN
42|Economic Transformation|Distribution of informal settlements|IDP_MAIN
43|Economic Transformation|Assessment of the Impact of The Continuation of Population Growth on|IDP_MAIN
45|Economic Transformation|Urbanizing settlements and Growth Nodes|IDP_MAIN
45|Economic Transformation|Assessment of the Availability of Land for Planned Urban Expansion|IDP_MAIN
47|Economic Transformation|. Economic Sector|IDP_MAIN
47|Economic Transformation|Key Government Priorities Being and To Be Implemented at A Local Level|IDP_MAIN
47|Economic Transformation|Expand agriculture infrastructure|IDP_MAIN
47|Economic Transformation|Improve capacity for agriculture extension officers|IDP_MAIN
47|Economic Transformation|Promote Diversification within the Agriculture Sector|IDP_MAIN
48|Economic Transformation|Improve production and productivity|IDP_MAIN
48|Economic Transformation|Enhance Agriculture Value Chains|IDP_MAIN
48|Economic Transformation|Description of the Existing State of Development|IDP_MAIN
48|Economic Transformation|Availability of Service Including Key Indicators of Performance|IDP_MAIN
49|Economic Transformation|Crop production|IDP_MAIN
50|Economic Transformation|Average yield per crop (per hectare) for the district from 2017 to 2021|IDP_MAIN
50|Economic Transformation|2018 2019 2020 2021|IDP_MAIN
50|Economic Transformation|Block Profiles in Kabwe District|IDP_MAIN
51|Economic Transformation|Distribution of farmers according to gender|IDP_MAIN
51|Economic Transformation|,825 which translates to 47.4 percent of the total registered farmers in the district.|IDP_MAIN
52|Economic Transformation|Inventory of farmer organizations in the district|IDP_MAIN
52|Economic Transformation|are clubs and 1 is a district farmer association. 592 registered groups have a paid-|IDP_MAIN
53|Economic Transformation|177 445 146 592|IDP_MAIN
54|Economic Transformation|Impact of the Changes Anticipated over the Next 10 years|IDP_MAIN
55|Economic Transformation|Impact of the Continuation of Existing Trends on Population and|IDP_MAIN
56|Economic Transformation|Environment and Climate Change|IDP_MAIN
56|Economic Transformation|Gender and Vulnerable Groups|IDP_MAIN
56|Economic Transformation|Summary and Consideration of Underlying Issues|IDP_MAIN
56|Economic Transformation|Lack of a farmer training center All wards|IDP_MAIN
56|Economic Transformation|Not enough Agriculture Infrastructure such as, camp houses, Agriculture Block Offices. All wards|IDP_MAIN
56|Economic Transformation|High post harvest losses loss of crops All wards|IDP_MAIN
56|Economic Transformation|High dependence on rains All wards|IDP_MAIN
56|Economic Transformation|Low practice of value addition. All wards|IDP_MAIN
56|Economic Transformation|limited market access and capital for small scale farmers All wards|IDP_MAIN
56|Economic Transformation|Inadequate number of farmers benefitting from the farmer input support Program (FISP) All wards|IDP_MAIN
56|Economic Transformation|Low practice of mechanization farming methods All wards|IDP_MAIN
56|Economic Transformation|Poor Agricultural Extension Service delivery All wards|IDP_MAIN
57|Economic Transformation|Fisheries and Livestock|IDP_MAIN
57|Economic Transformation|Key Government Priorities Being and To Be Implemented at a Local Level|IDP_MAIN
57|Economic Transformation|Zambia Aquaculture Enterprise Development Project (ZAEDEP): The project i|IDP_MAIN
57|Economic Transformation|Zambia Mining Environmental Remediation Project (ZAMREP): The project is|IDP_MAIN
57|Economic Transformation|Zambia Agricultureal Transformation Programme (ZATP): supporting one|IDP_MAIN
59|Economic Transformation|Soils have low water retention capacity necessitating expensive dam liners|IDP_MAIN
59|Economic Transformation|There is no local hatchery and fingerling are sourced from as far as Chirundu|IDP_MAIN
59|Economic Transformation|High cost of feed|IDP_MAIN
59|Economic Transformation|Inadequate financing for aquaculture activities|IDP_MAIN
59|Economic Transformation|Issues Arising from the Public Participation Process|IDP_MAIN
60|Economic Transformation|Impact of Changes Anticipated Over the Next Ten Years|IDP_MAIN
60|Economic Transformation|Summary of the core issues|IDP_MAIN
60|Economic Transformation|Existing abattoir in a deplorable state • Industrial area in Luangwa ward|IDP_MAIN
60|Economic Transformation|Inadequate infrastructure for disease control • Chinyanja, Muwowo East, Muwowo West and Luansanse,|IDP_MAIN
60|Economic Transformation|Lack of cold storage facilities • All wards|IDP_MAIN
60|Economic Transformation|Lack of a bulking centre • All wards|IDP_MAIN
60|Economic Transformation|Lack of a local hatchery • All wards|IDP_MAIN
61|Economic Transformation|Commerce, Trade and Industry|IDP_MAIN
62|Economic Transformation|Key Government Priorities Being and to be Implemented at a Local Level|IDP_MAIN
62|Economic Transformation|to 2019. Dairy business activities recorded the highest at 65 followed by General|IDP_MAIN
62|Economic Transformation|Metal Fabrication 1|IDP_MAIN
62|Economic Transformation|Road Paving (Construction) 3|IDP_MAIN
62|Economic Transformation|Dairy 65 (2 Processing)|IDP_MAIN
62|Economic Transformation|Mining (Gemstone) 1|IDP_MAIN
62|Economic Transformation|Mixed Farming (Agriculture) 11|IDP_MAIN
62|Economic Transformation|Tourism (Lodges and Restaurants) 5|IDP_MAIN
62|Economic Transformation|General Trading 32|IDP_MAIN
63|Economic Transformation|Km Kabwe. The Multi Facility Economic Zone (MFEZ) is the biggest Chinese|IDP_MAIN
63|Economic Transformation|% (CSO, 2014) in 2010.|IDP_MAIN
64|Economic Transformation|Informal and Formal Sector Analysis|IDP_MAIN
65|Economic Transformation|Financial Institution Analysis|IDP_MAIN
66|Economic Transformation|Sectors Registered with KCCI as at 2019|IDP_MAIN
66|Economic Transformation|Markets Analysis|IDP_MAIN
66|Economic Transformation|Kabwe Chamber of Commerce and Industry, 2019|IDP_MAIN
67|Economic Transformation|Environment and Climate Change Analysis|IDP_MAIN
67|Economic Transformation|Luka Powanga (2021) Economic Development, at What Cost: The Case of Kabwe, Zambia. J Bioremediat Biodegrad|IDP_MAIN
67|Economic Transformation|: 006. DOI: 10.4172/2155-6199.1000006.|IDP_MAIN
68|Economic Transformation|Issues Relating to Gender Groups and Vulnerable Groups|IDP_MAIN
68|Economic Transformation|Issues Arising from the Public Consultations|IDP_MAIN
68|Economic Transformation|,929 in 2011 to 176239 in 2035. This growth in population entails more productivity|IDP_MAIN
69|Economic Transformation|Inadeqaute market infrastructure Zambezi, Ngungu, Kawama (Zambani area), Chililalila,|IDP_MAIN
69|Economic Transformation|Poor water supply and sanitation in markets • Pollen, Njanji, Kachulu, Kamushanga (1), Mukobeko|IDP_MAIN
69|Economic Transformation|2 in 2023, 2 in 2024, (2) in 2025, (1) in 2026, (1) in|IDP_MAIN
69|Economic Transformation|3 Limited access to financial institutions and credit • All wards|IDP_MAIN
69|Economic Transformation|Limited youths with skills to enable entrepreneurship • All wards|IDP_MAIN
69|Economic Transformation|High cost of doing business • All wards|IDP_MAIN
69|Economic Transformation|Inadequate industries • All wards|IDP_MAIN
70|Economic Transformation|.1 Lukanga Swamp|IDP_MAIN
71|Economic Transformation|Timothy Ashworth Game Ranch|IDP_MAIN
72|Economic Transformation|Mukasa Agro solutions|IDP_MAIN
72|Economic Transformation|km off Mukonchi road along Mulungushi River, 800m from St. Paul’ High School.|IDP_MAIN
72|Economic Transformation|Broken Hill Man|IDP_MAIN
72|Economic Transformation|, 000 years ago.” Unearthed by Swiss miner T. Zwigellar, the skull belongs to an|IDP_MAIN
73|Economic Transformation|Broken Hill Mine|IDP_MAIN
74|Economic Transformation|.2.6 Mukuyu Tree|IDP_MAIN
75|Economic Transformation|Cultural Heritage|IDP_MAIN
76|Economic Transformation|House Number E1376 Bwacha House|IDP_MAIN
76|Economic Transformation|.3.7 Mita Hills|IDP_MAIN
76|Economic Transformation|Availability of Services|IDP_MAIN
77|Economic Transformation|Quality of Service Including Key Indicators of Performance|IDP_MAIN
77|Economic Transformation|Population Change – Future Demand for Services and Facilities|IDP_MAIN
78|Economic Transformation|Existing and Proposed Investment and Development Programmes|IDP_MAIN
78|Economic Transformation|Summary of the Sector|IDP_MAIN
78|Economic Transformation|Inadequate developed tourism- • Bwacha (Venus theatres), Kangomba (Mutwewasnsofu, Broken|IDP_MAIN
78|Economic Transformation|Limited investment in the tourism • All wards|IDP_MAIN
78|Economic Transformation|Low participation by locals in • All wards|IDP_MAIN
78|Economic Transformation|Transport and Communication|IDP_MAIN
78|Economic Transformation|Key Government Priority Being and to be implemented at a Local Level|IDP_MAIN
80|Economic Transformation|Un-gazetted and Community Roads|IDP_MAIN
80|Economic Transformation|Road Sector Investment Program (ROADSIP) I & II|IDP_MAIN
82|Economic Transformation|Impact of changes anticipated over the next ten years|IDP_MAIN
82|Economic Transformation|Existing and Proposed Investment and Development Programs|IDP_MAIN
83|Economic Transformation|Population change future demand for services and facilities|IDP_MAIN
83|Economic Transformation|,206 in 2022 to 456,325 in 2035 entails a demand on the transport sector. The|IDP_MAIN
84|Economic Transformation|Impact of the Continuation of existing trends on population and|IDP_MAIN
84|Economic Transformation|The Impact of Existing Trends on the Environment and Climate Change|IDP_MAIN
84|Economic Transformation|Issues Relating to Gender and vulnerable groups|IDP_MAIN
84|Economic Transformation|Summary and consideration of underlying issues|IDP_MAIN
85|Economic Transformation|Poor transport (road, rail and air) network ● All wards|IDP_MAIN
85|Economic Transformation|Limited access to Air transport ● All wards|IDP_MAIN
85|Economic Transformation|Lack of a modern intercity bus terminus ● Lukanga Ward|IDP_MAIN
85|Economic Transformation|Information and Communication Technology (ICT)|IDP_MAIN
85|Economic Transformation|Key Government Priorities Being and to Be Implemented at A Local Level|IDP_MAIN
85|Economic Transformation|Availability and quality of Service|IDP_MAIN
85|Economic Transformation|Telecommunication|IDP_MAIN
86|Economic Transformation|.1.4 Television|IDP_MAIN
87|Economic Transformation|Key Government Priorities Being and To Be Implemented at a Local|IDP_MAIN
87|Economic Transformation|.5.1 Electricity|IDP_MAIN
88|Economic Transformation|Issues Arising from The Public Participation Process|IDP_MAIN
89|Economic Transformation|The Impact of the Continuation of Existing Trends on Land Use and Population|IDP_MAIN
89|Economic Transformation|The Impact of Environmental and Climate Change Issues on the Sector|IDP_MAIN
89|Economic Transformation|Issues Arising Relating to Gender Groups and Vulnerable Groups|IDP_MAIN
89|Economic Transformation|Consideration of the Underlying Factors Contributing to|IDP_MAIN
90|Environmental Sustainability|Lack of access to electricity in some • Chinyanja, Muwowo East and West,|IDP_MAIN
90|Environmental Sustainability|High dependence on hydro power • All wards.|IDP_MAIN
90|Environmental Sustainability|The Copperbelt Environmental Project (CEP)|IDP_MAIN
90|Environmental Sustainability|, aimed to address environmental liabilities hindering mining investments in|IDP_MAIN
91|Environmental Sustainability|Kabwe Pilot Lead Remediation Project|IDP_MAIN
91|Environmental Sustainability|Kabwe Mine Pollution Amelioration Initiative (KAMPAI) project|IDP_MAIN
91|Environmental Sustainability|","" which revealed alarming statistics where nearly all children in townships close to the"|IDP_MAIN
91|Environmental Sustainability|Zambia Mining Environmental Remediation and Improvement Project|IDP_MAIN
92|Environmental Sustainability|% needed to be put on|IDP_MAIN
92|Environmental Sustainability|% children from|IDP_MAIN
93|Environmental Sustainability|Mineral Exploration|IDP_MAIN
95|Environmental Sustainability|Impact on the Environment and Climate Change|IDP_MAIN
95|Environmental Sustainability|Illegal Mining Activities|IDP_MAIN
96|Environmental Sustainability|Impact on Gender and Vulnerable Groups|IDP_MAIN
97|Environmental Sustainability|Summary for the sector|IDP_MAIN
97|Environmental Sustainability|Consideration of the Underlying Factors Contributing to the Issues|IDP_MAIN
97|Environmental Sustainability|Careless disposal of Zinc slag/ waste containing residues of lead by • Kasanda mine, Chowa, Mukobeko, Mine|IDP_MAIN
97|Environmental Sustainability|Dust arising from trucks transporting raw materials from the canals • Chowa, Kasanda mine, and Kawasaki|IDP_MAIN
97|Environmental Sustainability|Air pollution • Mukobeko, Kasanda mine, Chowa,|IDP_MAIN
97|Environmental Sustainability|.9.Social Sector|IDP_MAIN
97|Environmental Sustainability|Key Government Priorities to be implemented at A Local Level|IDP_MAIN
98|Environmental Sustainability|Availability of Service|IDP_MAIN
99|Environmental Sustainability|,600.0 1,872.0 2,144.0 2,416.0 2,689.0 13,326.0|IDP_MAIN
99|Environmental Sustainability|,990.0 47,986.0 49,982.0 51,978.0 53,973.0 448,642.0|IDP_MAIN
99|Environmental Sustainability|) 23,343.0 23,923.0 24,276.0 24,627.0 25,693.0 236,926.0|IDP_MAIN
99|Environmental Sustainability|,933.0 73,781.0 76,402.0 79,021.0 82,355.0 698,894.0|IDP_MAIN
99|Environmental Sustainability|in 2017 to 2689 in 2021. For the primary education level, enrolment increased|IDP_MAIN
99|Environmental Sustainability|Distribution of Schools in the District|IDP_MAIN
101|Environmental Sustainability|Total Number of Teachers from 2016 to 2021|IDP_MAIN
101|Environmental Sustainability|Progression Rate: Primary to Junior Secondary|IDP_MAIN
102|Environmental Sustainability|Progression Rate: Junior to senior secondary|IDP_MAIN
102|Environmental Sustainability|Number of Higher Learning institutions|IDP_MAIN
102|Environmental Sustainability|Teacher-Pupil Ratio|IDP_MAIN
103|Environmental Sustainability|Number of Schools, Enrolment, Teachers and Classrooms per Category|IDP_MAIN
103|Environmental Sustainability|Early Childhood Education Centres (ECE) by Category|IDP_MAIN
104|Environmental Sustainability|Primary Schools by Category|IDP_MAIN
104|Environmental Sustainability|Public 64 21,274 21,06 42,335 261 985 415|IDP_MAIN
104|Environmental Sustainability|Grant Aided 4 927 2,05 2,984 26 110 56|IDP_MAIN
104|Environmental Sustainability|Private 48 3,023 3,18 6,205 111 162 307|IDP_MAIN
104|Environmental Sustainability|Total 115 26,441 27,53 53,973 426 1,347 912|IDP_MAIN
104|Environmental Sustainability|Source: DEBS-Kabwe, 2022|IDP_MAIN
104|Environmental Sustainability|Secondary Schools by Category|IDP_MAIN
105|Environmental Sustainability|Enrollment by Level of Education by Sex|IDP_MAIN
106|Environmental Sustainability|Number of Teachers by Level of Education by Sex|IDP_MAIN
106|Environmental Sustainability|Number of Classroom at each level of Education|IDP_MAIN
106|Environmental Sustainability|under the Early Childhood Education. In terms of Primary level education, the district|IDP_MAIN
107|Environmental Sustainability|Performance of the District in National Examination|IDP_MAIN
108|Environmental Sustainability|. Literacy Rates, 2000 and 2010|IDP_MAIN
108|Environmental Sustainability|Public, 48 private, 8 communities, eighty-three (83) ECE centres of which 3 are|IDP_MAIN
109|Environmental Sustainability|which will be inadequate as we head to 2035 hence the need for construction of|IDP_MAIN
109|Environmental Sustainability|,961 more desks will be required.|IDP_MAIN
109|Environmental Sustainability|Needs Assessment|IDP_MAIN
111|Environmental Sustainability|Assessment of the Likely impact of ongoing and committed investment|IDP_MAIN
113|Environmental Sustainability|Summary of the Core issues|IDP_MAIN
113|Environmental Sustainability|Lack of equipment at Ngungu for skills training at • Bwacha|IDP_MAIN
113|Environmental Sustainability|Inadequate desk in schools which can be solved by|IDP_MAIN
113|Environmental Sustainability|Inadequate classrooms which can be solved by • Kangomba|IDP_MAIN
113|Environmental Sustainability|High levels of illiteracy and lack of special education|IDP_MAIN
113|Environmental Sustainability|Inadequate space to accommodate both primary and ani|IDP_MAIN
113|Environmental Sustainability|Lack of accommodation for staff members • David|IDP_MAIN
113|Environmental Sustainability|Construction of staff houses at Charity primary school|IDP_MAIN
113|Environmental Sustainability|Lack of adult education center • Waya|IDP_MAIN
113|Environmental Sustainability|Inadequate education facilities such class room blocks|IDP_MAIN
113|Environmental Sustainability|Lack of teachers’ accommodation in community which|IDP_MAIN
114|Environmental Sustainability|Lack of primary school in kasavasa • Luansase|IDP_MAIN
114|Environmental Sustainability|High levels of school drop out • Chililalila|IDP_MAIN
114|Environmental Sustainability|Lack of survivor skills for school levers such catering|IDP_MAIN
114|Environmental Sustainability|Lack of laboratory equipment in schools|IDP_MAIN
114|Environmental Sustainability|0 Health Sector|IDP_MAIN
115|Environmental Sustainability|Existing Health Facilities in the District|IDP_MAIN
115|Environmental Sustainability|Distribution of Health facilities|IDP_MAIN
117|Environmental Sustainability|Number of Households within 5km Facility|IDP_MAIN
117|Environmental Sustainability|Km of the existing Health Facilities as at 2021. On comparison on rural-urban, the|IDP_MAIN
117|Environmental Sustainability|Provision of Health Care Services (Key Performance Indicators) 2.10.3.2.5.1|IDP_MAIN
117|Environmental Sustainability|% of deliveries were conducted by skilled health personnel.|IDP_MAIN
118|Environmental Sustainability|Children fully immunized by age 12 Months|IDP_MAIN
118|Environmental Sustainability|Disease Incidences in the district|IDP_MAIN
118|Environmental Sustainability|Malaria Incidence - fatality Rate per 1000 Persons per Year|IDP_MAIN
119|Environmental Sustainability|HIV Prevalence in the District|IDP_MAIN
120|Environmental Sustainability|TB Incidence and Treatment Success Rate (new and relapse)|IDP_MAIN
120|Environmental Sustainability|Incidence of diarrhea & Pneumonia Among under five children|IDP_MAIN
121|Environmental Sustainability|Stunting, underweight and wasted among under five children|IDP_MAIN
121|Environmental Sustainability|Incidences of Deaths|IDP_MAIN
121|Environmental Sustainability|Maternal Mortality per 1,000 live births|IDP_MAIN
122|Environmental Sustainability|Infant Mortality per 1000 live births|IDP_MAIN
123|Environmental Sustainability|Incidence of Births – Deaths|IDP_MAIN
123|Environmental Sustainability|Quality of Service Analysis|IDP_MAIN
123|Environmental Sustainability|Establishment Analysis as at June,|IDP_MAIN
123|Environmental Sustainability|The National Health Policy of 2011, says that, the availability of sufficient number of|IDP_MAIN
124|Environmental Sustainability|Road Network and Health Facilities|IDP_MAIN
124|Environmental Sustainability|Water Supply and Sanitation and Health facilities|IDP_MAIN
126|Environmental Sustainability|Quality of Service at Health Facility|IDP_MAIN
128|Environmental Sustainability|Population Change Vs Future Demand for Services and Facilities|IDP_MAIN
128|Environmental Sustainability|The Impact of the Continuation of Existing Trends on Land Use and|IDP_MAIN
129|Environmental Sustainability|Summary of the sector|IDP_MAIN
129|Environmental Sustainability|Consideration of the Underlying Factors Contributing to the Issues Identified|IDP_MAIN
130|Environmental Sustainability|Community Development and Social Welfare|IDP_MAIN
130|Environmental Sustainability|Key Government Priorities being and to implemented at Local Level|IDP_MAIN
131|Environmental Sustainability|350 104 246 39 13|IDP_MAIN
131|Environmental Sustainability|480 174 306 32 17|IDP_MAIN
131|Environmental Sustainability|310 101 209 22 12|IDP_MAIN
131|Environmental Sustainability|400 122 278 48 4|IDP_MAIN
131|Environmental Sustainability|2,200 669 1,531 305 39|IDP_MAIN
131|Environmental Sustainability|Distribution of Inputs across the Sub Centres|IDP_MAIN
131|Environmental Sustainability|Village Bank Programme|IDP_MAIN
132|Environmental Sustainability|Support to Women’s Club (Women Empowerment)|IDP_MAIN
132|Environmental Sustainability|. 4 Social Cash Transfer|IDP_MAIN
132|Environmental Sustainability|,766 clients. Of these, 7,062 beneficiaries receive payments digitally through various service|IDP_MAIN
132|Environmental Sustainability|. 5 Public Welfare Assistance Program|IDP_MAIN
132|Environmental Sustainability|. 5 Constiteuncy Development Fund Empowerment and Bursary Programs|IDP_MAIN
133|Environmental Sustainability|Issues arising from Public Participation|IDP_MAIN
133|Environmental Sustainability|Housing and Human settlement|IDP_MAIN
133|Environmental Sustainability|Land Management and Administration|IDP_MAIN
134|Environmental Sustainability|Key Government Priorities being and to be implemented at local level|IDP_MAIN
134|Environmental Sustainability|The National Land Titling Program|IDP_MAIN
135|Environmental Sustainability|. Encroachments on Lukanga Water and Sanitation infrastructure e.g • Kawama|IDP_MAIN
135|Environmental Sustainability|. Illegal land allocations • Makululu|IDP_MAIN
135|Environmental Sustainability|Bureaucracy in land allocation by the Local Authority • All Wards|IDP_MAIN
135|Environmental Sustainability|Lack of Security of tenure e. g Chikwata area • Chimanimani|IDP_MAIN
135|Environmental Sustainability|Proliferation of informal settlements|IDP_MAIN
135|Environmental Sustainability|Population Change on the Future Demand for services and Facilities|IDP_MAIN
135|Environmental Sustainability|depicts a surge in demand for land its competing uses. This has been evidenced|IDP_MAIN
136|Environmental Sustainability|Existing and Proposed Investment and Development Program|IDP_MAIN
136|Environmental Sustainability|Existing Trends on Population and Settlements|IDP_MAIN
137|Good Governance|and 2018 and 8.25 percent in 2019. It can further be deduced that conversion of|IDP_MAIN
137|Good Governance|Issues Relating and Arising to Gender and Vulnerable groups|IDP_MAIN
138|Good Governance|are estimated to be around 14 in the district . Moreover, unauthorized settlements|IDP_MAIN
138|Good Governance|cost housing combined|IDP_MAIN
